year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance,predicted,difference
2008,dal,0.9961798185765536,0.3149783459830446,0.4626480036951401,-0.6414960643497905,63368.0,-0.629311383963696,0.96,-0.1923002762359031,1.12,89756.0,64669.45834750936,25086.54165249064
2016,dal,1.4097268598261252,1.619888636484229,-1.3348169675988968,0.8727330177782031,92539.0,1.229310753975465,1.16,-0.1923002762359031,0.93,92721.0,76984.64911445335,15736.35088554665
2014,dal,1.8232739010756964,1.2936610638589332,-1.3348169675988968,0.8727330177782031,90069.0,1.2201409035981174,1.13,-0.1923002762359031,0.92,91459.0,76671.66564156517,14787.334358434833
2013,dal,0.5826327773269824,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,88043.0,1.2649653697186725,1.1,-0.1923002762359031,1.13,90069.0,75450.6251324837,14618.374867516293
2011,dal,-0.6580083464217319,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,85512.0,1.2485842167780854,1.07,-0.1923002762359031,1.11,88531.0,74690.4129249545,13840.587075045507
2012,dal,-0.2444613051721605,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,88531.0,1.226969383897895,1.11,-0.1923002762359031,1.1,88043.0,74562.00999869005,13480.990001309954
2006,was,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,87631.0,1.3130719922264378,1.09,-0.1923002762359031,1.1,88090.0,74653.63906582462,13436.360934175376
2015,ram,-0.2444613051721605,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,52402.0,-0.6976033717196943,0.8,2.359134761403861,0.9,74121.0,61594.1127440712,12526.8872559288
2007,was,0.16908573607741093,0.3149783459830446,0.4626480036951401,0.11561847671420634,88090.0,1.2707339306134438,1.1,-0.1923002762359031,0.97,88604.0,76681.81761420866,11922.18238579134
2010,dal,0.9961798185765536,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,87047.0,1.2407369635557257,1.09,-0.1923002762359031,1.07,85512.0,74100.31756235547,11411.68243764453
2006,gnb,-0.6580083464217319,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,70718.0,-1.3103690701856654,1.16,0.8282737388200024,1.17,70805.0,59644.34749240389,11160.65250759611
2009,dal,2.2368209423252683,0.9674334912336371,-1.3348169675988968,0.8727330177782031,89756.0,1.2784925573488115,1.12,-0.1923002762359031,1.09,87047.0,76726.53852189872,10320.461478101279
2017,gnb,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,78092.0,0.3123544688537171,1.07,0.8282737388200024,0.96,77834.0,67529.64081244962,10304.359187550377
2007,gnb,0.5826327773269824,1.619888636484229,-1.3348169675988968,1.6298475588421997,70805.0,-1.3706774099601349,1.17,0.8282737388200024,0.97,70682.0,60925.78927188684,9756.210728113161
2015,gnb,0.5826327773269824,0.6412059186083408,-0.4360844819518784,0.8727330177782031,78413.0,0.3528571304552969,1.07,0.8282737388200024,0.96,78215.0,68963.16183718028,9251.838162819724
2015,min,0.5826327773269824,0.9674334912336371,-1.3348169675988968,0.11561847671420634,52430.0,-2.4625068510085346,1.0,-1.2128742912918091,1.0,66786.0,57552.380574154915,9233.619425845085
2013,gnb,-1.071555387671303,0.1518645596703965,-1.3348169675988968,0.11561847671420634,77947.0,0.2940588740492662,1.07,0.8282737388200024,1.07,78139.0,69117.36896523344,9021.631034766557
2014,gnb,1.4097268598261252,1.2936610638589332,-1.3348169675988968,1.6298475588421997,78139.0,0.3182847651006768,1.07,0.8282737388200024,1.07,78413.0,69853.56334886799,8559.436651132011
2012,gnb,0.16908573607741093,0.9674334912336371,-1.3348169675988968,0.8727330177782031,70507.0,0.27245277168865795,0.97,0.8282737388200024,1.07,77947.0,69491.05068201742,8455.94931798258
2006,crd,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,63603.0,-0.9540527240936972,1.0,1.848847753875908,1.02,64580.0,56444.951364555796,8135.048635444204
2007,rav,0.16908573607741093,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,71153.0,-0.21453048617599801,1.03,-0.1923002762359031,1.0,71269.0,64492.80478469189,6776.195215308107
2013,htx,-0.2444613051721605,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,71658.0,0.03765695030324168,1.01,-0.1923002762359031,1.01,71766.0,65304.45993883255,6461.540061167449
2011,clt,-1.071555387671303,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,64828.0,-1.0435898215481405,1.03,-1.2128742912918091,1.04,65189.0,58852.95855341856,6336.041446581439
2012,phi,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,69144.0,-0.3890088279582453,1.02,-0.1923002762359031,1.02,69144.0,62859.5881466383,6284.4118533617
2007,nyj,-1.4851024289208747,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,77106.0,1.0814209334676552,0.98,-0.1923002762359031,0.95,78482.0,72334.92375306852,6147.07624693148
2007,nyg,-1.071555387671303,0.6412059186083408,-0.4360844819518784,3.144076640970193,78731.0,1.0883614916019673,1.0,-0.1923002762359031,0.96,79069.0,73232.41074217246,5836.589257827538
2017,den,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,76355.0,0.7675804117174552,1.0,-0.1923002762359031,1.0,76446.0,70609.86331173536,5836.13668826464
2007,phi,-0.2444613051721605,-0.011249226642251607,1.3613804893421588,-0.6414960643497905,68169.0,-0.6056629852669803,1.03,-0.1923002762359031,1.02,69144.0,63547.913271623656,5596.086728376344
2015,dal,0.5826327773269824,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,91459.0,3.880474103591916,0.92,-0.1923002762359031,1.16,92539.0,87284.55382149687,5254.446178503131
2010,car,-0.2444613051721605,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,72620.0,0.4634109336557962,0.98,-0.1923002762359031,0.98,72292.0,67190.31604448307,5101.683955516928
2016,crd,-0.2444613051721605,-0.1743630129548997,-0.4360844819518784,-0.6414960643497905,64831.0,-0.9598845779177684,1.02,1.848847753875908,0.99,64217.0,59279.6790497519,4937.320950248097
2006,nyg,-0.2444613051721605,-0.011249226642251607,0.4626480036951401,0.11561847671420634,78613.0,1.072430444705346,1.0,-0.1923002762359031,1.0,78731.0,73812.58541709054,4918.414582909463
2010,den,-0.6580083464217319,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,74908.0,0.7786153205415601,0.98,-0.1923002762359031,0.99,75327.0,70417.600700443,4909.399299557001
2007,crd,-0.6580083464217319,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,64580.0,-0.9931073493622012,1.02,1.848847753875908,1.01,64096.0,59251.756618750514,4844.2433812494855
2010,crd,-0.2444613051721605,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,62774.0,-0.9803685443268846,0.99,1.848847753875908,0.97,61181.0,56341.39114219248,4839.608857807521
2016,phi,0.16908573607741093,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,69596.0,-0.4186167130810464,1.03,-0.1923002762359031,1.0,69596.0,64813.35278979201,4782.647210207993
2017,htx,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,71774.0,0.05316291976127338,1.01,-0.1923002762359031,1.0,71804.0,67060.42052727236,4743.579472727637
2016,car,0.5826327773269824,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,73792.0,0.4215526727679584,1.0,-0.1923002762359031,1.0,73617.0,68917.84195334412,4699.158046655881
2006,htx,-1.071555387671303,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,70183.0,-0.15950947168464902,1.01,-0.1923002762359031,1.02,70519.0,65822.1148654505,4696.885134549506
2012,crd,-0.2444613051721605,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,60890.0,-0.9778030348272888,0.96,1.848847753875908,0.96,61033.0,56357.12137199135,4675.87862800865
2016,sfo,-1.4851024289208747,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,70178.0,-0.2521468930038886,1.02,-1.723161298819761,1.02,70144.0,65505.89446653164,4638.105533468362
2015,mia,0.5826327773269824,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,67193.0,-0.7335937222350782,1.03,1.338560746347955,1.0,65512.0,60908.10447126585,4603.895528734152
2012,kan,0.9961798185765536,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,68508.0,0.8513238362011706,0.89,-0.1923002762359031,0.98,75359.0,70821.17506300144,4537.824936998557
2018,gnb,-0.6580083464217319,-0.5005905855801959,0.4626480036951401,-0.6414960643497905,77834.0,1.4051035560656566,0.96,0.8282737388200024,0.956,77845.0,73356.73454027837,4488.2654597216315
2018,crd,-1.071555387671303,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,62013.0,-0.7280691895471972,0.95,1.848847753875908,0.943,61323.0,56838.46416697286,4484.535833027141
2007,htx,-1.071555387671303,-0.011249226642251607,1.3613804893421588,-0.6414960643497905,70519.0,-0.20701157402957712,1.02,-0.1923002762359031,0.99,70420.0,66068.08530280871,4351.914697191285
2018,den,0.16908573607741093,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,76446.0,0.7798662190699344,1.0,-0.1923002762359031,0.998,75937.0,71610.79036194911,4326.209638050888
2016,den,0.9961798185765536,0.3149783459830446,0.4626480036951401,-0.6414960643497905,76774.0,0.7215236722625892,1.01,-0.1923002762359031,1.0,76355.0,72028.79170366802,4326.2082963319845
2006,den,-0.2444613051721605,0.3149783459830446,0.4626480036951401,-0.6414960643497905,76347.0,0.7665003407414129,1.0,-0.1923002762359031,1.01,76611.0,72305.7607795088,4305.239220491203
2006,cle,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,72334.0,0.12801932404141986,1.01,-1.2128742912918091,1.01,73000.0,68702.27547080233,4297.724529197672
2013,atl,-1.071555387671303,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,70224.0,0.03560731066223533,0.99,-0.1923002762359031,0.99,70502.0,66208.39022811882,4293.60977188118
2015,rav,0.16908573607741093,-0.9899319445181402,0.4626480036951401,-0.6414960643497905,71002.0,0.04487791987326623,1.0,-0.1923002762359031,1.0,71102.0,66905.75961035263,4196.24038964737
2017,mia,-0.6580083464217319,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,67627.0,-0.7619402918791277,1.04,1.338560746347955,1.01,65560.0,61441.62466220406,4118.3753377959365
2016,nor,-1.071555387671303,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,73109.0,0.3293416131883617,1.0,-0.1923002762359031,0.96,73139.0,69107.28021787124,4031.7197821287555
2010,htx,-0.2444613051721605,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,71080.0,0.05540861188967697,1.0,-0.1923002762359031,1.01,71496.0,67674.59948829682,3821.4005117031775
2014,rai,-1.071555387671303,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,57416.0,-2.0151293936870083,1.03,1.848847753875908,0.87,54613.0,50821.533230273606,3791.466769726394
2014,crd,0.16908573607741093,0.9674334912336371,-0.4360844819518784,0.11561847671420634,61979.0,-1.0025374408422008,0.98,1.848847753875908,0.99,64185.0,60413.331885257656,3771.668114742344
2011,car,-0.2444613051721605,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,72292.0,0.4182242907805663,0.98,-0.1923002762359031,0.99,73293.0,69604.25926906681,3688.74073093319
2018,nyj,-0.2444613051721605,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,77982.0,1.5413588915602694,0.95,-0.1923002762359031,0.9520000000000001,78523.0,74856.96429483735,3666.035705162649
2006,tam,-0.2444613051721605,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,65582.0,-0.6868701663952758,1.0,-0.1923002762359031,1.0,65316.0,61695.6039777308,3620.3960222691967
2008,phi,-0.6580083464217319,0.4780921322956927,-0.4360844819518784,1.6298475588421997,69144.0,-0.3890088279582453,1.02,-0.1923002762359031,1.02,69144.0,65529.96141428527,3614.0385857147267
2011,den,0.9961798185765536,-0.011249226642251607,-1.3348169675988968,0.8727330177782031,75327.0,0.7315166781802905,0.99,-0.1923002762359031,1.01,76632.0,73021.41515192181,3610.584848078186
2006,buf,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,67646.0,0.2792039635921684,0.93,0.8282737388200024,0.97,71054.0,67462.25002794004,3591.749972059959
2008,gnb,-0.2444613051721605,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,70682.0,0.29681004241125764,0.97,0.8282737388200024,0.97,70708.0,67181.92872480486,3526.071275195136
2008,crd,0.5826327773269824,0.3149783459830446,-1.3348169675988968,2.3869620999061967,64096.0,-0.9731718517797492,1.01,1.848847753875908,1.0,63142.0,59646.39255608675,3495.60744391325
2016,mia,0.16908573607741093,0.6412059186083408,-0.4360844819518784,0.11561847671420634,65512.0,-0.6963207874356443,1.0,1.338560746347955,1.04,67627.0,64163.29129797272,3463.708702027281
2010,oti,0.16908573607741093,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,69143.0,-0.2061035731845233,1.0,-0.1923002762359031,1.0,69143.0,65702.09240501387,3440.907594986129
2014,nyj,-0.6580083464217319,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,78160.0,1.5666552907359943,0.95,-0.1923002762359031,0.95,78160.0,74766.43327821624,3393.5667217837617
2008,buf,-0.6580083464217319,-0.3374767992675478,1.3613804893421588,-0.6414960643497905,71405.0,0.2960274852002872,0.98,0.8282737388200024,0.96,70128.0,66742.99062633449,3385.009373665511
2007,den,-0.6580083464217319,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,76611.0,0.6997351117310464,1.01,-0.1923002762359031,0.99,75509.0,72150.81345055524,3358.1865494447557
2008,sea,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,67995.0,-0.5410923514230018,1.02,-0.7025872837638559,1.01,67392.0,64041.18049812644,3350.819501873557
2015,phi,0.16908573607741093,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,69483.0,-0.4334283660291961,1.03,-0.1923002762359031,1.03,69596.0,66245.57670476937,3350.423295230634
2012,nor,0.16908573607741093,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,72888.0,0.299504652475198,1.0,-0.1923002762359031,1.0,72901.0,69648.03049056396,3252.969509436036
2011,nyg,-0.6580083464217319,0.3149783459830446,-1.3348169675988968,3.144076640970193,79475.0,1.635884346649658,0.96,-0.1923002762359031,0.98,80495.0,77242.23478255897,3252.7652174410323
2015,sfo,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,70799.0,-0.2609315936418859,1.03,-1.723161298819761,1.02,70178.0,66961.16989968873,3216.830100311272
2009,nyg,0.16908573607741093,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,78701.0,1.3011547608639813,0.98,-0.1923002762359031,0.96,79019.0,75812.14364822987,3206.856351770126
2017,nyj,-1.4851024289208747,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,77562.0,1.5989334477047763,0.94,-0.1923002762359031,0.95,77982.0,74788.19134881718,3193.808651182815
2018,sfo,-0.2444613051721605,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,69148.0,-0.2978601474524183,1.01,-1.723161298819761,1.026,70305.0,67131.75429327045,3173.2457067295472
2007,oti,-0.2444613051721605,0.6412059186083408,0.4626480036951401,0.11561847671420634,69143.0,-0.4779944014484104,1.03,-0.1923002762359031,1.0,69143.0,66040.32484203836,3102.6751579616393
2012,oti,-1.4851024289208747,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,69143.0,-0.2061035731845233,1.0,-0.1923002762359031,1.0,69143.0,66146.26460944267,2996.7353905573254
2015,den,0.16908573607741093,1.2936610638589332,-1.3348169675988968,3.144076640970193,76922.0,0.7413071505366287,1.01,-0.1923002762359031,1.01,76774.0,73782.69703018943,2991.3029698105674
2014,nyg,-1.071555387671303,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,78967.0,1.564442151880206,0.96,-0.1923002762359031,0.96,79001.0,76016.09541244799,2984.9045875520096
2006,oti,-1.071555387671303,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,69143.0,-0.4779944014484104,1.03,-0.1923002762359031,1.03,69143.0,66185.0301742499,2957.9698257501004
2014,car,-0.6580083464217319,-0.1743630129548997,-1.3348169675988968,0.8727330177782031,73607.0,0.3965760314469842,1.0,-0.1923002762359031,1.0,74056.0,71164.00778501881,2891.99221498119
2014,den,3.0639150248244107,1.2936610638589332,-1.3348169675988968,0.8727330177782031,76939.0,0.7435795770951334,1.01,-0.1923002762359031,1.01,76922.0,74043.4284703608,2878.571529639201
2014,atl,-0.2444613051721605,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,70502.0,0.07351889290210044,0.99,-0.1923002762359031,0.99,70355.0,67490.72387876967,2864.2761212303303
2017,nyg,-1.071555387671303,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,77179.0,1.54392451368561,0.94,-0.1923002762359031,0.93,76940.0,74085.3403102246,2854.659689775406
2013,den,0.5826327773269824,1.619888636484229,-1.3348169675988968,2.3869620999061967,76872.0,0.7346235430116144,1.01,-0.1923002762359031,1.01,76939.0,74095.64333938304,2843.3566606169625
2007,car,-1.4851024289208747,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,73402.0,0.3688992126859047,1.0,-0.1923002762359031,0.99,73210.0,70418.00556191336,2791.9944380866364
2012,den,1.4097268598261252,1.619888636484229,-1.3348169675988968,0.8727330177782031,76632.0,0.7025422268915524,1.01,-0.1923002762359031,1.01,76872.0,74114.82042998531,2757.1795700146904
2016,nyj,-1.071555387671303,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,78160.0,1.5666552907359943,0.95,-0.1923002762359031,0.94,77562.0,74837.91673539612,2724.083264603876
2007,buf,-0.6580083464217319,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,71054.0,0.348586640747298,0.97,0.8282737388200024,0.98,71405.0,68710.07629583342,2694.9237041665765
2009,nyj,0.5826327773269824,0.3149783459830446,-0.4360844819518784,1.6298475588421997,77052.0,1.2951275790780323,0.96,-0.1923002762359031,0.95,78596.0,75933.28133303157,2662.7186669684306
2013,rav,0.16908573607741093,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,71135.0,0.0628340998499666,1.0,-0.1923002762359031,1.0,71044.0,68417.29922244893,2626.700777551072
2009,sea,-1.4851024289208747,-0.9899319445181402,0.4626480036951401,-0.6414960643497905,67392.0,-0.5325884437308811,1.01,-0.7025872837638559,1.0,66992.0,64380.63325473085,2611.3667452691516
2006,nwe,-0.6580083464217319,1.2936610638589332,-1.3348169675988968,1.6298475588421997,68756.0,-0.35025963044852304,1.01,0.8282737388200024,1.01,68756.0,66181.07386389305,2574.926136106951
2011,phi,-0.2444613051721605,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,69144.0,-0.3890088279582453,1.02,-0.1923002762359031,1.02,69144.0,66576.67490237602,2567.3250976239797
2010,min,0.16908573607741093,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,58751.0,-1.1028238834559254,0.94,-1.2128742912918091,0.98,62816.0,60268.24662740504,2547.7533725949615
2009,den,0.5826327773269824,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,75116.0,0.7027420600054316,0.99,-0.1923002762359031,0.98,74908.0,72387.63921298781,2520.3607870121923
2012,car,-1.4851024289208747,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,73293.0,0.45413481387856,0.99,-0.1923002762359031,1.0,73443.0,70940.62128172128,2502.37871827872
2016,gnb,0.16908573607741093,0.6412059186083408,-1.3348169675988968,1.6298475588421997,78215.0,1.4586852021427466,0.96,0.8282737388200024,1.07,78092.0,75593.62678937473,2498.373210625272
2018,nwe,-0.6580083464217319,0.9674334912336371,-1.3348169675988968,3.144076640970193,65878.0,-0.6469075402817169,1.0,0.8282737388200024,0.998,65753.0,63288.66948959498,2464.3305104050232
2008,den,-0.2444613051721605,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,75509.0,0.7563364910135825,0.99,-0.1923002762359031,0.99,75116.0,72700.9121835894,2415.087816410596
2006,phi,-0.2444613051721605,0.6412059186083408,-1.3348169675988968,0.8727330177782031,69224.0,-0.640208528632695,1.05,-0.1923002762359031,1.03,68169.0,65760.7350183461,2408.264981653905
2008,htx,-0.2444613051721605,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,70420.0,0.06233633986732085,0.99,-0.1923002762359031,0.99,70608.0,68217.10299534157,2390.897004658429
2018,buf,-1.071555387671303,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,64961.0,0.20376836123768616,0.9,0.8282737388200024,0.958,68839.0,66474.78146026822,2364.2185397317808
2013,nyg,-1.071555387671303,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,80148.0,1.6143296118976984,0.97,-0.1923002762359031,0.96,78967.0,76617.52999137374,2349.47000862626
2008,cin,-1.4851024289208747,-1.1530457308307884,0.4626480036951401,-0.6414960643497905,64582.0,-0.7338068871697934,0.99,-0.1923002762359031,0.98,64004.0,61666.56507531524,2337.4349246847632
2015,clt,-0.2444613051721605,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,66047.0,-1.0487068013571994,1.05,-1.2128742912918091,1.04,65549.0,63211.989873478225,2337.0101265217745
2014,nor,0.16908573607741093,-0.3374767992675478,-0.4360844819518784,-0.6414960643497905,73112.0,0.3297466398043776,1.0,-0.1923002762359031,0.96,73038.0,70706.03463936588,2331.965360634116
2009,crd,0.5826327773269824,0.6412059186083408,-1.3348169675988968,0.8727330177782031,63142.0,-1.0162918140881247,1.0,1.848847753875908,0.99,62774.0,60444.42126375597,2329.5787362440315
2014,rav,0.16908573607741093,0.6412059186083408,0.4626480036951401,0.8727330177782031,71044.0,0.05054829249748738,1.0,-0.1923002762359031,1.0,71002.0,68680.99681436493,2321.003185635069
2013,crd,0.16908573607741093,0.6412059186083408,0.4626480036951401,-0.6414960643497905,61033.0,-0.9576923382681708,0.96,1.848847753875908,0.98,61979.0,59696.371162695104,2282.6288373048956
2006,car,-0.2444613051721605,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,73567.0,0.3911756765667736,1.0,-0.1923002762359031,1.0,73402.0,71195.11937024245,2206.88062975755
2016,chi,-0.6580083464217319,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,60368.0,-1.2244754947202452,0.98,-1.2128742912918091,0.99,61142.0,58949.491587254335,2192.508412745665
2017,crd,0.16908573607741093,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,64217.0,-0.78358288543436,0.99,1.848847753875908,0.95,62013.0,59829.615172230784,2183.384827769216
2018,car,-0.2444613051721605,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,73772.0,0.4188524953278531,1.0,-0.1923002762359031,0.9790000000000001,72220.0,70075.2586037337,2144.7413962662977
2012,clt,-0.2444613051721605,0.9674334912336371,-0.4360844819518784,0.11561847671420634,65189.0,-1.0784322437530096,1.04,-1.2128742912918091,1.05,65950.0,63835.244080071905,2114.755919928095
2010,gnb,0.9961798185765536,0.6412059186083408,-0.4360844819518784,3.144076640970193,70795.0,0.3125378800778503,0.97,0.8282737388200024,0.97,70512.0,68409.98716647353,2102.0128335264744
2009,rav,0.5826327773269824,0.3149783459830446,-0.4360844819518784,0.8727330177782031,71082.0,0.0556786296336875,1.0,-0.1923002762359031,1.0,71227.0,69125.51037806491,2101.489621935092
2014,chi,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,61681.0,-1.2135397760878186,1.0,-1.2128742912918091,1.01,62035.0,59950.83821977001,2084.161780229988
2006,nyj,-1.071555387671303,0.6412059186083408,-0.4360844819518784,0.11561847671420634,77321.0,1.111040226815749,0.98,-0.1923002762359031,0.98,77106.0,75062.46295169283,2043.5370483071747
2015,nyg,0.16908573607741093,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,79001.0,1.5692237160970581,0.96,-0.1923002762359031,0.96,78789.0,76759.17735615693,2029.822643843072
2016,jax,-1.4851024289208747,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,61915.0,-0.455071673064148,0.92,-0.1923002762359031,0.96,64303.0,62273.335792126105,2029.664207873895
2011,htx,0.16908573607741093,0.6412059186083408,-1.3348169675988968,0.8727330177782031,71496.0,0.016002061922196834,1.01,-0.1923002762359031,1.01,71665.0,69649.35248715442,2015.6475128455786
2008,nwe,-0.6580083464217319,0.9674334912336371,-0.4360844819518784,-0.6414960643497905,68756.0,-0.25835200665056124,1.0,0.8282737388200024,1.0,68756.0,66800.25213314968,1955.7478668503172
2011,sea,0.5826327773269824,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,66413.0,-0.484108660259043,0.99,-0.7025872837638559,1.01,67946.0,65992.10038303769,1953.8996169623133
2013,nor,0.5826327773269824,0.9674334912336371,-0.4360844819518784,0.8727330177782031,72901.0,0.30125976781126645,1.0,-0.1923002762359031,1.0,73112.0,71168.614574055,1943.3854259450018
2017,chi,-1.4851024289208747,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,61142.0,-1.202928624238596,0.99,-1.2128742912918091,1.01,61815.0,59900.31317836114,1914.6868216388611
2009,car,0.16908573607741093,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,73289.0,0.4535893234866227,0.99,-0.1923002762359031,0.98,72620.0,70813.18567848502,1806.8143215149757
2009,htx,0.5826327773269824,0.3149783459830446,-0.4360844819518784,-0.6414960643497905,70608.0,0.08797438828852379,0.99,-0.1923002762359031,1.0,71080.0,69290.77289644863,1789.2271035513695
2011,crd,-0.2444613051721605,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,61181.0,-1.025580981219705,0.97,1.848847753875908,0.96,60890.0,59110.44023453166,1779.559765468337
2008,clt,0.16908573607741093,1.2936610638589332,-0.4360844819518784,0.11561847671420634,66378.0,-1.006146861706015,1.05,-1.2128742912918091,1.06,66549.0,64774.39488313171,1774.6051168682898
2009,oti,0.16908573607741093,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,69143.0,-0.2061035731845233,1.0,-0.1923002762359031,1.0,69143.0,67370.92667184318,1772.0733281568246
2015,crd,1.4097268598261252,1.619888636484229,-1.3348169675988968,1.6298475588421997,64185.0,-0.7879468085698835,0.99,1.848847753875908,1.02,64831.0,63063.89677067159,1767.103229328408
