year,team,attendance,capacity,attend%
2019,sdg,31750,26906.77966101695,1.18
2019,sfo,70305,68523.39181286549,1.026
2019,chi,61916,61485.60079443892,1.0070000000000001
2019,sea,68990,68715.13944223107,1.004
2019,min,66849,66649.05284147558,1.003
2019,nor,73082,73008.99100899101,1.001
2019,phi,69783,69713.28671328672,1.001
2019,cle,67431,67431.0,1.0
2019,den,75937,76089.17835671343,0.998
2019,nwe,65753,65884.76953907816,0.998
2019,htx,71793,72009.02708124374,0.997
2019,rav,70627,70981.90954773869,0.995
2019,car,72220,73769.15219611848,0.9790000000000001
2019,mia,63067,64750.513347022585,0.9740000000000001
2019,clt,61110,63000.0,0.97
2019,kan,73465,76446.40998959418,0.961
2019,buf,68839,71856.99373695199,0.958
2019,gnb,77845,81427.82426778243,0.956
2019,atl,71601,74974.86910994764,0.955
2019,nyj,78523,82482.14285714286,0.9520000000000001
2019,det,61342,64502.62881177708,0.951
2019,crd,61323,65029.692470837756,0.943
2019,rai,52549,56022.388059701494,0.938
2019,oti,64509,69141.47909967846,0.9329999999999999
2019,jax,63085,67833.33333333333,0.93
2019,ram,71229,76755.3879310345,0.9279999999999999
2019,pit,62237,68392.30769230769,0.91
2019,dal,90929,100031.90319031903,0.909
2019,nyg,74664,82501.65745856354,0.905
2019,was,65488,81962.4530663329,0.799
2019,tam,51898,65610.61946902655,0.7909999999999999
2019,cin,47179,65526.38888888889,0.72
2018,sdg,32768,27080.99173553719,1.21
2018,rai,57919,56232.038834951454,1.03
2018,mia,65560,64910.89108910891,1.01
2018,sfo,69148,68463.36633663367,1.01
2018,chi,61815,61202.9702970297,1.01
2018,sea,69001,69001.0,1.0
2018,den,76446,76446.0,1.0
2018,nor,73051,73051.0,1.0
2018,phi,69696,69696.0,1.0
2018,nwe,65878,65878.0,1.0
2018,car,73772,73772.0,1.0
2018,min,66811,66811.0,1.0
2018,htx,71804,71804.0,1.0
2018,kan,75972,76739.39393939394,0.99
2018,rav,70431,71142.42424242424,0.99
2018,jax,66674,68034.69387755102,0.98
2018,cle,65765,67107.14285714286,0.98
2018,det,62795,64737.113402061856,0.97
2018,atl,72898,75152.57731958762,0.97
2018,gnb,77834,81077.08333333334,0.96
2018,crd,62013,65276.84210526316,0.95
2018,nyj,77982,82086.3157894737,0.95
2018,clt,59199,62977.65957446809,0.94
2018,oti,64520,69376.3440860215,0.93
2018,nyg,76940,82731.18279569891,0.93
2018,pit,63456,68232.25806451612,0.93
2018,dal,91619,99585.86956521739,0.92
2018,buf,64961,72178.88888888889,0.9
2018,tam,54356,65489.156626506025,0.83
2018,cin,50753,65067.94871794872,0.78
2018,ram,72429,94063.63636363637,0.77
2018,was,61028,82470.27027027027,0.74
2017,gnb,78092,72983.17757009345,1.07
2017,mia,67627,65025.96153846154,1.04
2017,sea,68976,66966.99029126213,1.03
2017,sfo,70144,68768.62745098039,1.02
2017,htx,71774,71063.36633663367,1.01
2017,clt,63440,62811.88118811881,1.01
2017,den,76355,76355.0,1.0
2017,phi,69596,69596.0,1.0
2017,nwe,65878,65878.0,1.0
2017,car,73617,73617.0,1.0
2017,rav,70588,71301.0101010101,0.99
2017,chi,61142,61759.59595959596,0.99
2017,crd,64217,64865.656565656565,0.99
2017,det,64137,64784.84848484849,0.99
2017,kan,74106,76397.9381443299,0.97
2017,atl,71960,74958.33333333334,0.96
2017,nor,73139,76186.45833333334,0.96
2017,jax,64303,66982.29166666667,0.96
2017,oti,65651,69106.3157894737,0.95
2017,nyj,77562,82512.76595744681,0.94
2017,nyg,77179,82105.31914893618,0.94
2017,dal,92721,99700.0,0.93
2017,rai,57775,62798.91304347826,0.92
2017,min,66721,73319.78021978022,0.91
2017,buf,66775,73379.12087912088,0.91
2017,pit,62471,68649.45054945054,0.91
2017,tam,59952,65881.31868131868,0.91
2017,was,75175,85426.13636363637,0.88
2017,cle,63882,73427.58620689655,0.87
2017,cin,53275,65771.6049382716,0.81
2017,ram,63392,93223.5294117647,0.68
2016,dal,92539,79775.0,1.16
2016,clt,65549,63027.88461538461,1.04
2016,sea,69073,67061.16504854368,1.03
2016,phi,69596,67568.93203883494,1.03
2016,sfo,70178,68801.96078431372,1.02
2016,crd,64831,63559.80392156863,1.02
2016,htx,71868,71156.43564356436,1.01
2016,den,76774,76013.86138613861,1.01
2016,mia,65512,65512.0,1.0
2016,nor,73109,73109.0,1.0
2016,rav,71102,71102.0,1.0
2016,car,73792,73792.0,1.0
2016,min,66786,66786.0,1.0
2016,pit,64312,64961.61616161616,0.99
2016,chi,60368,61600.0,0.98
2016,nwe,66829,68895.8762886598,0.97
2016,gnb,78215,81473.95833333334,0.96
2016,was,78304,81566.66666666667,0.96
2016,nyg,78789,82071.875,0.96
2016,kan,73328,76383.33333333334,0.96
2016,nyj,78160,82273.68421052632,0.95
2016,det,60792,64672.34042553192,0.94
2016,buf,68509,72881.91489361702,0.94
2016,oti,64659,68786.17021276597,0.94
2016,atl,69999,75267.74193548386,0.93
2016,cin,60511,65772.82608695651,0.92
2016,tam,60624,65895.65217391304,0.92
2016,jax,61915,67298.91304347826,0.92
2016,ram,74121,82356.66666666667,0.9
2016,cle,64311,73080.68181818182,0.88
2016,rai,54584,62740.22988505747,0.87
2016,sdg,57024,71280.0,0.8
2015,gnb,78413,73283.17757009345,1.07
2015,clt,66047,62901.904761904756,1.05
2015,sfo,70799,68736.89320388349,1.03
2015,sea,69020,67009.70873786407,1.03
2015,mia,67193,65235.922330097084,1.03
2015,phi,69483,67459.22330097087,1.03
2015,htx,71769,71058.41584158415,1.01
2015,den,76922,76160.39603960396,1.01
2015,chi,62035,61420.79207920792,1.01
2015,car,74056,74056.0,1.0
2015,rav,71002,71002.0,1.0
2015,min,52430,52430.0,1.0
2015,atl,70355,71065.65656565657,0.99
2015,crd,64185,64833.333333333336,0.99
2015,pit,64356,65669.38775510204,0.98
2015,nwe,66829,68895.8762886598,0.97
2015,kan,74086,76377.31958762887,0.97
2015,nyg,79001,82292.70833333334,0.96
2015,buf,69880,72791.66666666667,0.96
2015,nor,73038,76081.25,0.96
2015,nyj,78160,82273.68421052632,0.95
2015,sdg,66772,70286.3157894737,0.95
2015,det,61347,65262.76595744681,0.94
2015,cin,61389,65307.44680851064,0.94
2015,tam,61560,65489.361702127666,0.94
2015,dal,91459,99411.95652173912,0.92
2015,jax,61463,66807.60869565218,0.92
2015,cle,66186,73540.0,0.9
2015,oti,62304,69226.66666666667,0.9
2015,was,76209,84676.66666666667,0.9
2015,rai,54613,62773.5632183908,0.87
2015,ram,52402,65502.5,0.8
2014,dal,90069,79707.07964601771,1.13
2014,gnb,78139,73027.10280373831,1.07
2014,min,52238,49750.47619047619,1.05
2014,clt,65375,62860.57692307692,1.04
2014,sfo,70774,68712.6213592233,1.03
2014,phi,69596,67568.93203883494,1.03
2014,rai,57416,55743.689320388345,1.03
2014,den,76939,76177.22772277228,1.01
2014,htx,71766,71055.44554455446,1.01
2014,chi,61681,61681.0,1.0
2014,nor,73112,73112.0,1.0
2014,rav,71044,71044.0,1.0
2014,oti,69143,69143.0,1.0
2014,nwe,68756,68756.0,1.0
2014,car,73607,73607.0,1.0
2014,sea,68412,68412.0,1.0
2014,atl,70502,71214.14141414141,0.99
2014,crd,61979,63243.87755102041,0.98
2014,det,63024,64310.204081632655,0.98
2014,kan,74967,76496.9387755102,0.98
2014,pit,62226,64818.75,0.96
2014,nyg,78967,82257.29166666667,0.96
2014,nyj,78160,82273.68421052632,0.95
2014,buf,67522,71831.91489361702,0.94
2014,jax,62961,66979.78723404255,0.94
2014,cin,60703,65272.043010752684,0.93
2014,mia,70035,75306.45161290323,0.93
2014,cle,67425,73288.04347826086,0.92
2014,sdg,65432,71121.73913043478,0.92
2014,tam,59659,65559.34065934065,0.91
2014,ram,57018,65537.93103448275,0.87
2014,was,77964,91722.35294117648,0.85
2013,dal,88043,80039.0909090909,1.1
2013,gnb,77947,72847.66355140187,1.07
2013,clt,65950,62809.52380952381,1.05
2013,phi,69144,67788.23529411765,1.02
2013,sea,68197,66859.80392156863,1.02
2013,chi,62358,61740.59405940594,1.01
2013,den,76872,76110.8910891089,1.01
2013,htx,71658,70948.51485148515,1.01
2013,rav,71135,71135.0,1.0
2013,oti,69143,69143.0,1.0
2013,nwe,68756,68756.0,1.0
2013,nor,72901,72901.0,1.0
2013,min,64019,64019.0,1.0
2013,car,73443,73443.0,1.0
2013,sfo,69732,70436.36363636363,0.99
2013,det,63796,64440.40404040404,0.99
2013,atl,70224,70933.33333333333,0.99
2013,kan,75359,76896.9387755102,0.98
2013,cle,71242,73445.36082474227,0.97
2013,nyg,80148,82626.80412371134,0.97
2013,cin,63297,65254.63917525773,0.97
2013,crd,61033,63576.04166666667,0.96
2013,nyj,76957,82749.46236559139,0.93
2013,buf,66267,72820.87912087912,0.91
2013,sdg,64205,71338.88888888889,0.9
2013,tam,58818,65353.33333333333,0.9
2013,jax,59940,67348.31460674157,0.89
2013,pit,57311,65126.13636363636,0.88
2013,ram,56957,65467.816091954024,0.87
2013,mia,64319,74789.53488372093,0.86
2013,was,77220,91928.57142857143,0.84
2013,rai,50444,63055.0,0.8
2012,dal,88531,79757.65765765765,1.11
2012,clt,65189,62681.730769230766,1.04
2012,phi,69144,67788.23529411765,1.02
2012,sea,67946,67273.26732673268,1.01
2012,chi,62329,61711.88118811881,1.01
2012,htx,71665,70955.44554455446,1.01
2012,den,76632,75873.26732673268,1.01
2012,rav,71278,71278.0,1.0
2012,oti,69143,69143.0,1.0
2012,nwe,68755,68755.0,1.0
2012,nor,72888,72888.0,1.0
2012,sfo,69732,70436.36363636363,0.99
2012,car,73293,74033.33333333333,0.99
2012,det,63769,64413.131313131315,0.99
2012,atl,70096,71526.5306122449,0.98
2012,nyg,80495,82137.75510204081,0.98
2012,jax,64984,66993.81443298969,0.97
2012,gnb,70507,72687.62886597938,0.97
2012,crd,60890,63427.083333333336,0.96
2012,nyj,79088,82383.33333333334,0.96
2012,min,60725,63921.052631578954,0.95
2012,pit,61141,65043.6170212766,0.94
2012,cin,61188,65793.54838709677,0.93
2012,cle,66632,73221.97802197802,0.91
2012,kan,68508,76975.2808988764,0.89
2012,buf,64950,72977.52808988764,0.89
2012,was,79654,91556.32183908045,0.87
2012,ram,56703,65175.862068965514,0.87
2012,rai,54216,63041.86046511628,0.86
2012,sdg,59964,71385.71428571429,0.84
2012,tam,55102,65597.61904761905,0.84
2012,mia,57379,75498.68421052632,0.76
2011,dal,85512,79917.75700934579,1.07
2011,clt,64828,62939.805825242714,1.03
2011,phi,69144,67788.23529411765,1.02
2011,chi,62145,61529.70297029703,1.01
2011,htx,71496,70788.11881188118,1.01
2011,rav,71224,71224.0,1.0
2011,nor,73042,73042.0,1.0
2011,oti,69143,69143.0,1.0
2011,nwe,68756,68756.0,1.0
2011,sfo,69732,70436.36363636363,0.99
2011,sea,66413,67083.83838383839,0.99
2011,den,75327,76087.87878787878,0.99
2011,det,63742,64385.85858585859,0.99
2011,min,62816,64097.95918367347,0.98
2011,car,72292,73767.34693877552,0.98
2011,pit,63034,64983.50515463918,0.97
2011,atl,68986,71119.58762886598,0.97
2011,gnb,70512,72692.78350515464,0.97
2011,crd,61181,63073.195876288664,0.97
2011,nyg,79475,82786.45833333334,0.96
2011,nyj,78986,82277.08333333334,0.96
2011,rai,59242,63023.404255319154,0.94
2011,kan,72082,76682.97872340426,0.94
2011,jax,62331,67022.58064516129,0.93
2011,sdg,65392,71078.26086956522,0.92
2011,cle,65859,73176.66666666667,0.9
2011,ram,56394,65574.41860465116,0.86
2011,tam,56614,65830.23255813954,0.86
2011,buf,62694,72900.0,0.86
2011,was,76921,91572.61904761905,0.84
2011,mia,60886,75167.9012345679,0.81
2011,cin,49251,65668.0,0.75
2010,dal,87047,79859.63302752293,1.09
2010,clt,66975,63183.96226415094,1.06
2010,phi,69144,67788.23529411765,1.02
2010,chi,62195,61579.207920792076,1.01
2010,rav,71227,71227.0,1.0
2010,htx,71080,71080.0,1.0
2010,sea,66992,66992.0,1.0
2010,oti,69143,69143.0,1.0
2010,nwe,68756,68756.0,1.0
2010,sfo,69732,70436.36363636363,0.99
2010,crd,62774,63408.080808080806,0.99
2010,car,72620,74102.04081632654,0.98
2010,den,74908,76436.73469387756,0.98
2010,pit,63083,65034.0206185567,0.97
2010,gnb,70795,72984.53608247422,0.97
2010,nor,70038,72956.25,0.96
2010,nyg,79019,82311.45833333334,0.96
2010,nyj,78596,82732.63157894737,0.95
2010,atl,67850,71421.05263157895,0.95
2010,min,58751,62501.063829787236,0.94
2010,jax,63032,67055.31914893618,0.94
2010,cin,60364,65613.04347826086,0.92
2010,sdg,65530,71228.26086956522,0.92
2010,was,83172,91397.8021978022,0.91
2010,cle,66116,73462.22222222222,0.9
2010,mia,67744,75271.11111111111,0.9
2010,kan,67672,76900.0,0.88
2010,det,56285,64695.402298850575,0.87
2010,buf,63195,72637.93103448275,0.87
2010,ram,52922,65335.8024691358,0.81
2010,tam,49314,65752.0,0.75
2010,rai,46431,62744.59459459459,0.74
2009,dal,89756,80139.28571428571,1.12
2009,clt,66549,62782.07547169811,1.06
2009,phi,69144,67788.23529411765,1.02
2009,chi,62250,61633.66336633663,1.01
2009,sea,67392,66724.75247524753,1.01
2009,rav,71082,71082.0,1.0
2009,oti,69143,69143.0,1.0
2009,nwe,68756,68756.0,1.0
2009,crd,63142,63142.0,1.0
2009,min,63775,63775.0,1.0
2009,htx,70608,71321.21212121213,0.99
2009,sfo,69732,70436.36363636363,0.99
2009,car,73289,74029.29292929293,0.99
2009,den,75116,75874.74747474748,0.99
2009,nyg,78701,80307.14285714286,0.98
2009,pit,63485,64780.61224489796,0.98
2009,cin,64004,65310.204081632655,0.98
2009,gnb,70708,72894.84536082475,0.97
2009,nor,70105,73026.04166666667,0.96
2009,tam,62991,65615.625,0.96
2009,nyj,77052,80262.5,0.96
2009,buf,70128,73050.0,0.96
2009,atl,68173,71013.54166666667,0.96
2009,sdg,67543,71097.8947368421,0.95
2009,cle,68888,73285.10638297873,0.94
2009,was,84794,91176.3440860215,0.93
2009,mia,67542,75046.66666666667,0.9
2009,kan,67514,76720.45454545454,0.88
2009,ram,55237,64984.705882352944,0.85
2009,det,49395,64149.35064935065,0.77
2009,jax,49651,67095.94594594595,0.74
2009,rai,44284,63262.857142857145,0.7
2008,clt,66378,63217.142857142855,1.05
2008,phi,69144,67788.23529411765,1.02
2008,sea,67995,66661.76470588235,1.02
2008,crd,64096,63461.38613861386,1.01
2008,chi,62034,61419.80198019802,1.01
2008,rav,71269,71269.0,1.0
2008,oti,69143,69143.0,1.0
2008,nwe,68756,68756.0,1.0
2008,cle,72778,73513.1313131313,0.99
2008,car,73210,73949.49494949495,0.99
2008,den,75509,76271.71717171717,0.99
2008,htx,70420,71131.31313131313,0.99
2008,min,63267,63906.06060606061,0.99
2008,cin,64582,65234.343434343435,0.99
2008,tam,64511,65827.55102040817,0.98
2008,buf,71405,72862.24489795919,0.98
2008,jax,65167,67182.47422680413,0.97
2008,gnb,70682,72868.0412371134,0.97
2008,pit,62890,64835.051546391755,0.97
2008,was,88604,91344.32989690722,0.97
2008,kan,74077,76368.0412371134,0.97
2008,sfo,67512,70325.0,0.96
2008,dal,63368,66008.33333333334,0.96
2008,nor,70092,73012.5,0.96
2008,nyg,79069,82363.54166666667,0.96
2008,sdg,68138,70977.08333333334,0.96
2008,nyj,78482,82612.63157894737,0.95
2008,ram,59980,65195.65217391304,0.92
2008,rai,57850,62880.434782608696,0.92
2008,atl,64065,71183.33333333333,0.9
2008,mia,65489,75274.71264367815,0.87
2008,det,54497,64114.117647058825,0.85
2007,gnb,70805,60517.09401709402,1.17
2007,was,88090,80081.81818181818,1.1
2007,phi,68169,66183.49514563107,1.03
2007,rav,71153,69080.58252427184,1.03
2007,oti,69143,67129.12621359223,1.03
2007,crd,64580,63313.72549019608,1.02
2007,sea,68193,66855.88235294117,1.02
2007,htx,70519,69136.27450980392,1.02
2007,cle,73000,72277.22772277228,1.01
2007,nwe,68756,68075.24752475247,1.01
2007,den,76611,75852.47524752475,1.01
2007,cin,65790,65790.0,1.0
2007,car,73402,73402.0,1.0
2007,nyg,78731,78731.0,1.0
2007,tam,65316,65316.0,1.0
2007,ram,64294,65606.12244897959,0.98
2007,nyj,77106,78679.59183673469,0.98
2007,buf,71054,73251.54639175258,0.97
2007,jax,65301,67320.61855670104,0.97
2007,sfo,68028,70131.9587628866,0.97
2007,kan,76777,79151.54639175258,0.97
2007,dal,63534,65498.96907216495,0.97
2007,atl,68395,71244.79166666667,0.96
2007,nor,70004,72920.83333333334,0.96
2007,pit,62084,64670.833333333336,0.96
2007,det,61304,65217.02127659575,0.94
2007,chi,62158,66836.55913978495,0.93
2007,sdg,65502,71197.82608695651,0.92
2006,gnb,70718,60963.79310344828,1.16
2006,was,87631,80395.41284403669,1.09
2006,phi,69224,65927.61904761904,1.05
2006,oti,69143,67129.12621359223,1.03
2006,rav,70818,68755.33980582524,1.03
2006,sea,67977,66644.11764705883,1.02
2006,nwe,68756,68075.24752475247,1.01
2006,htx,70183,69488.11881188118,1.01
2006,cin,65983,65329.70297029703,1.01
2006,cle,72334,71617.82178217822,1.01
2006,car,73567,73567.0,1.0
2006,den,76347,76347.0,1.0
2006,crd,63603,63603.0,1.0
2006,ram,65326,65326.0,1.0
2006,tam,65582,65582.0,1.0
2006,nyg,78613,78613.0,1.0
2006,jax,66858,66858.0,1.0
2006,atl,70432,71143.43434343435,0.99
2006,nyj,77321,78898.97959183673,0.98
2006,kan,77909,79498.97959183673,0.98
2006,sfo,68150,70257.73195876289,0.97
2006,pit,62432,65033.333333333336,0.96
2006,dal,63288,65925.0,0.96
2006,nor,68808,73200.0,0.94
2006,det,60889,64775.53191489362,0.94
2006,sdg,66378,71374.19354838709,0.93
2006,chi,62223,66906.45161290323,0.93
2006,buf,67646,72737.63440860214,0.93
